Movie_name,Year_of_release,Certification,Duration,imdb_rating,Genre,Votes,Metascore
Yes Day,2021,7,86 min,5.7,"Comedy, Family","18,072",46
 Loki,2021– ,12+,51 min,8.8,"Action, Adventure, Fantasy","17,968",Not available
 WandaVision,2021,12+,47 min,9.0,"Action, Comedy, Drama","17,892",Not available
 WandaVision,2021,12+,50 min,8.4,"Action, Comedy, Drama","17,776",Not available
El inocente,2021,18,467 min,7.9,"Crime, Drama, Mystery","17,560",Not available
Wrong Turn,2021,R,109 min,5.5,"Horror, Thriller","17,426",46
 WandaVision,2021,12+,38 min,8.9,"Action, Comedy, Drama","17,376",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.3,"Animation, Action, Adventure","16,793",Not available
 WandaVision,2021,12+,38 min,8.5,"Action, Comedy, Drama","16,223",Not available
Firefly Lane,2021– ,18,Not available,7.5,"Drama, Romance","16,001",Not available
Bajocero,2021,18,106 min,6.2,"Action, Adventure, Crime","15,514",Not available
Karnan,2021,UA,158 min,8.3,"Action, Drama","15,394",Not available
The Marksman,2021,PG-13,108 min,5.6,"Action, Drama, Thriller","15,135",44
 The Falcon and the Winter Soldier,2021,12+,47 min,7.7,"Action, Adventure, Drama","15,123",Not available
Superman and Lois,2021– ,42 min,42 min,7.9,"Action, Adventure, Drama","15,039",Not available
Willy's Wonderland,2021,88 min,88 min,5.6,"Action, Comedy, Horror","14,770",44
Crime Scene: The Vanishing at the Cecil Hotel,2021,16,219 min,5.9,"Documentary, Crime, Mystery","14,675",Not available
The Map of Tiny Perfect Things,2021,13,98 min,6.8,"Comedy, Fantasy, Romance","14,465",61
Infinite,2021,PG-13,106 min,5.4,"Action, Sci-Fi, Thriller","14,439",28
The Nevers,2021– ,18,58 min,7.4,"Action, Drama, Fantasy","14,258",Not available
 Loki,2021– ,12+,53 min,9.0,"Action, Adventure, Fantasy","14,003",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.7,"Animation, Action, Adventure","13,953",Not available
 The Falcon and the Winter Soldier,2021,12+,53 min,8.8,"Action, Adventure, Drama","13,665",Not available
Bliss,I 2021,16,103 min,5.3,"Drama, Romance, Sci-Fi","13,626",40
Fatherhood,2021,13,109 min,6.7,"Comedy, Drama","13,456",53
Them,2021– ,16,45 min,7.3,"Drama, Horror, Thriller","13,390",Not available
Awake,III 2021,18,96 min,4.8,"Action, Adventure, Drama","13,084",35
 The Falcon and the Winter Soldier,2021,12+,47 min,7.9,"Action, Adventure, Drama","13,062",Not available
 Shingeki no kyojin,2013–2021,13,24 min,8.9,"Animation, Action, Adventure","12,984",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.8,"Animation, Action, Adventure","12,923",Not available
The Irregulars,2021,16,Not available,5.9,"Crime, Drama, Fantasy","12,206",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.7,"Animation, Action, Adventure","12,171",Not available
 The Falcon and the Winter Soldier,2021,12+,51 min,8.0,"Action, Adventure, Drama","12,072",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.1,"Animation, Action, Adventure","11,993",Not available
The Big Bull,2021,PG,153 min,6.1,"Biography, Crime, Drama","11,614",Not available
Dota: Dragon's Blood,2021– ,18,25 min,8.1,"Animation, Action, Adventure","11,452",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.2,"Animation, Action, Adventure","11,423",Not available
 The Falcon and the Winter Soldier,2021,12+,49 min,7.8,"Action, Adventure, Drama","11,383",Not available
 The Falcon and the Winter Soldier,2021,12+,57 min,8.0,"Action, Adventure, Drama","11,239",Not available
 Shingeki no kyojin,2013–2021,13,24 min,9.7,"Animation, Action, Adventure","11,215",Not available
Red Dot,2021,18,86 min,5.5,"Drama, Horror, Thriller","11,191",Not available
The One,2021– ,16,Not available,6.6,"Crime, Drama, Sci-Fi","10,472",Not available
Deadly Illusions,2021,18,114 min,3.7,"Drama, Thriller","10,267",Not available
Star Wars: The Bad Batch,2021– ,PG,Not available,8.4,"Animation, Action, Adventure","10,256",Not available
The Unholy,2021,PG-13,99 min,5.0,"Drama, Horror, Mystery","10,221",36
Vakeel Saab,2021,UA,153 min,7.9,"Action, Crime, Drama","10,128",Not available
Kagittan Hayatlar,2021,18,96 min,6.7,Drama,"9,862",Not available
¿Quién Mató a Sara?,2021– ,18,Not available,6.4,"Crime, Drama, Mystery","9,824",Not available
Clarkson's Farm,2021– ,16,45 min,9.3,Documentary,"9,823",Not available
 Loki,2021– ,12+,42 min,7.9,"Action, Adventure, Fantasy","9,760",Not available
Tribes of Europa,2021– ,18,Not available,6.8,"Action, Adventure, Drama","9,657",Not available
The United States vs. Billie Holiday,2021,R,126 min,6.3,"Biography, Drama, Music","9,632",52
Azizler,2021,16,96 min,6.1,"Comedy, Drama","9,364",Not available
Harga,2021– ,"
Drama            ",Not available,9.7,Drama,"9,308",Not available
Iste Bu Benim Masalim,2021,40 min,40 min,1.5,"Musical, Romance","9,223",Not available
Halston,2021,18,240 min,7.5,"Biography, Drama","9,152",Not available
Voyagers,2021,UA,108 min,5.4,"Adventure, Sci-Fi, Thriller","8,908",44
Way Down,2021,R,118 min,6.4,"Action, Adventure, Thriller","8,756",50
Jagame Thandhiram,2021,18,158 min,6.1,"Action, Crime, Drama","8,523",Not available
Wish Dragon,2021,7,98 min,7.2,"Animation, Adventure, Comedy","8,465",60
Locked Down,I 2021,R,118 min,5.2,"Comedy, Crime, Romance","8,397",42
Barb and Star Go to Vista Del Mar,2021,PG-13,107 min,6.4,Comedy,"8,356",64
 The Walking Dead,2010–2022,18+,50 min,9.3,"Drama, Horror, Thriller","7,976",Not available
